tourney_name,surface,tourney_level,tourney_date,year,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_age_category,winner_rank,winner_rank_points,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_age_category,loser_rank,loser_rank_points,score,best_of,w_ace,w_bpSaved,w_bpFaced,l_ace,l_bpSaved,l_bpFaced
Brisbane,Hard,A,2016-01-04,2016,Milos Raonic,R,196,CAN,25,joven,14,2170,Roger Federer,R,185,SUI,34,viejo,3,8265,6-4 6-4,3,6,1,1,7,3,5
Brisbane,Hard,A,2016-01-04,2016,Roger Federer,R,185,SUI,34,viejo,3,8265,Dominic Thiem,R,186,AUT,22,joven,20,1600,6-1 6-4,3,6,0,1,2,2,6
Brisbane,Hard,A,2016-01-04,2016,Milos Raonic,R,196,CAN,25,joven,14,2170,Bernard Tomic,R,193,AUS,23,joven,18,1675,7-6(5) 7-6(5),3,13,4,4,10,2,2
Brisbane,Hard,A,2016-01-04,2016,Roger Federer,R,185,SUI,34,viejo,3,8265,Grigor Dimitrov,R,188,BUL,24,joven,28,1360,6-4 6-7(4) 6-4,3,7,0,1,8,8,11
Brisbane,Hard,A,2016-01-04,2016,Dominic Thiem,R,186,AUT,22,joven,20,1600,Marin Cilic,R,198,CRO,27,adulto,13,2405,2-6 7-6(4) 6-4,3,6,0,2,11,7,8
Brisbane,Hard,A,2016-01-04,2016,Milos Raonic,R,196,CAN,25,joven,14,2170,Lucas Pouille,R,186,FRA,21,joven,78,672,6-4 6-4,3,12,0,1,6,5,8
Brisbane,Hard,A,2016-01-04,2016,Bernard Tomic,R,193,AUS,23,joven,18,1675,Kei Nishikori,R,178,JPN,26,joven,8,4235,6-3 1-6 6-3,3,14,8,11,5,7,10
Brisbane,Hard,A,2016-01-04,2016,Roger Federer,R,185,SUI,34,viejo,3,8265,Tobias Kamke,R,180,GER,29,adulto,277,185,6-2 6-1,3,2,1,1,2,1,6
Brisbane,Hard,A,2016-01-04,2016,Grigor Dimitrov,R,188,BUL,24,joven,28,1360,Viktor Troicki,R,193,SRB,29,adulto,22,1487,5-7 7-6(6) 6-2,3,9,5,7,9,6,9
Brisbane,Hard,A,2016-01-04,2016,Marin Cilic,R,198,CRO,27,adulto,13,2405,Hyeon Chung,R,186,KOR,19,muy joven,51,817,7-5 7-6(3),3,18,4,6,5,6,9
Brisbane,Hard,A,2016-01-04,2016,Dominic Thiem,R,186,AUT,22,joven,20,1600,Denis Kudla,R,180,USA,23,joven,69,719,6-3 6-2,3,7,0,0,0,2,5
Brisbane,Hard,A,2016-01-04,2016,Lucas Pouille,R,186,FRA,21,joven,78,672,David Goffin,R,163,BEL,25,joven,16,1880,7-6(5) 4-6 6-3,3,13,9,11,9,1,4
Brisbane,Hard,A,2016-01-04,2016,Milos Raonic,R,196,CAN,25,joven,14,2170,Ivan Dodig,R,183,CRO,31,adulto,87,636,6-7(2) 6-1 6-4,3,17,3,3,11,7,10
Brisbane,Hard,A,2016-01-04,2016,Bernard Tomic,R,193,AUS,23,joven,18,1675,Radek Stepanek,R,185,CZE,37,viejo,197,252,7-6(6) 4-6 7-6(4),3,19,3,6,14,4,6
Brisbane,Hard,A,2016-01-04,2016,Kei Nishikori,R,178,JPN,26,joven,8,4235,Mikhail Kukushkin,R,183,KAZ,28,adulto,65,762,6-3 6-4,3,5,5,6,3,4,7
Brisbane,Hard,A,2016-01-04,2016,Tobias Kamke,R,180,GER,29,adulto,277,185,Benjamin Mitchell,R,186,AUS,23,joven,231,225,6-2 6-4,3,1,0,0,4,5,8
Brisbane,Hard,A,2016-01-04,2016,Viktor Troicki,R,193,SRB,29,adulto,22,1487,Steve Johnson,R,188,USA,26,joven,32,1240,7-6(3) 6-1,3,3,1,3,3,4,8
Brisbane,Hard,A,2016-01-04,2016,Grigor Dimitrov,R,188,BUL,24,joven,28,1360,Gilles Simon,R,183,FRA,31,adulto,15,2145,6-3 7-6(10),3,8,6,7,2,3,5
Brisbane,Hard,A,2016-01-04,2016,Hyeon Chung,R,186,KOR,19,muy joven,51,817,Samuel Groth,R,186,AUS,28,adulto,60,782,7-6(8) 6-4,3,2,2,4,11,8,11
Brisbane,Hard,A,2016-01-04,2016,Denis Kudla,R,180,USA,23,joven,69,719,John Patrick Smith,L,186,AUS,26,joven,129,459,4-6 6-3 6-2,3,2,4,5,8,5,8
Brisbane,Hard,A,2016-01-04,2016,Dominic Thiem,R,186,AUT,22,joven,20,1600,James Duckworth,R,183,AUS,23,joven,120,485,3-6 6-4 6-3,3,4,2,4,14,6,9
Brisbane,Hard,A,2016-01-04,2016,David Goffin,R,163,BEL,25,joven,16,1880,Thomaz Bellucci,L,188,BRA,28,adulto,37,1105,6-4 6-4,3,3,1,2,7,7,10
Brisbane,Hard,A,2016-01-04,2016,Lucas Pouille,R,186,FRA,21,joven,78,672,Yoshihito Nishioka,L,186,JPN,20,joven,117,495,4-6 6-3 7-5,3,17,2,4,4,12,15
Brisbane,Hard,A,2016-01-04,2016,Ivan Dodig,R,183,CRO,31,adulto,87,636,Oliver Anderson,U,186,AUS,17,muy joven,813,25,6-3 6-2,3,11,0,0,3,3,6
Brisbane,Hard,A,2016-01-04,2016,Bernard Tomic,R,193,AUS,23,joven,18,1675,Nicolas Mahut,R,190,FRA,33,viejo,71,710,6-4 6-3,3,8,4,5,4,3,6
Brisbane,Hard,A,2016-01-04,2016,Radek Stepanek,R,185,CZE,37,viejo,197,252,Dusan Lajovic,R,180,SRB,25,joven,76,678,6-0 6-3,3,3,2,2,0,4,8
Brisbane,Hard,A,2016-01-04,2016,Mikhail Kukushkin,R,183,KAZ,28,adulto,65,762,Denis Istomin,R,188,UZB,29,adulto,61,781,6-2 7-5,3,1,3,3,6,4,7
Chennai,Hard,A,2016-01-04,2016,Stanislas Wawrinka,R,183,SUI,30,adulto,4,6865,Borna Coric,R,186,CRO,19,muy joven,44,941,6-3 7-5,3,15,5,5,2,1,3
Chennai,Hard,A,2016-01-04,2016,Stanislas Wawrinka,R,183,SUI,30,adulto,4,6865,Benoit Paire,R,196,FRA,26,joven,19,1633,6-3 6-4,3,6,1,1,2,2,4
Chennai,Hard,A,2016-01-04,2016,Borna Coric,R,186,CRO,19,muy joven,44,941,Aljaz Bedene,R,181,GBR,26,joven,45,939,7-6(5) 6-7(5) 6-3,3,17,8,11,16,9,13
Chennai,Hard,A,2016-01-04,2016,Stanislas Wawrinka,R,183,SUI,30,adulto,4,6865,Guillermo Garcia Lopez,R,188,ESP,32,adulto,27,1430,6-4 6-4,3,14,0,1,5,6,9
Chennai,Hard,A,2016-01-04,2016,Benoit Paire,R,196,FRA,26,joven,19,1633,Thomas Fabbiano,R,186,ITA,26,joven,157,362,6-4 7-5,3,14,6,10,0,4,10
Chennai,Hard,A,2016-01-04,2016,Borna Coric,R,186,CRO,19,muy joven,44,941,Roberto Bautista Agut,R,186,ESP,27,adulto,25,1480,3-6 6-4 7-6(1),3,9,5,8,10,3,6
Chennai,Hard,A,2016-01-04,2016,Aljaz Bedene,R,181,GBR,26,joven,45,939,Ramkumar Ramanathan,R,186,IND,21,joven,248,209,6-7(5) 6-4 6-3,3,9,3,3,6,1,3
Chennai,Hard,A,2016-01-04,2016,Stanislas Wawrinka,R,183,SUI,30,adulto,4,6865,Andrey Rublev,R,186,RUS,18,muy joven,185,270,6-3 6-2,3,6,0,0,2,6,9
