,Title,imdb.Year,imdb.Avg Rating,imdb.Num of Votes
0,Breaking Bad,2008,9.5,1128407
1,The Wire,2002,9.3,233170
2,"Te quiero, Lucy",1951,8.3,20146
3,Seinfeld,1989,8.9,212723
4,El ala oeste de la Casa Blanca,1999,8.7,53758
5,The Oprah Winfrey Show,1986,5.1,4270
6,La hora de Bill Cosby,1984,7.4,28212
7,Los Soprano,1999,9.2,236433
8,The Tonight Show Starring Johnny Carson,1962,8.4,2674
9,60 Minutes,1968,7.5,2589
10,Dexter,2006,8.7,579672
11,The Wire,2004,8.5,149001
12,Star Trek,1966,8.3,63545
13,M.A.S.H.,1972,8.3,45331
14,Perdidos,2004,8.4,441445
15,Profesores de Boston,2000,7.3,4901
16,El abogado,1997,7.7,6704
17,Urgencias,1994,7.7,45107
18,Todo en familia,1971,8.3,12180
19,The Wire,2000,8.7,81864
20,Saturday Night Live,1975,8.1,37932
21,La chica de la tele,1970,8.2,5692
22,Canción triste de Hill Street,1981,8.1,6083
23,Good Times,1974,7.3,4867
24,Barrio Sésamo,1969,8.2,10146
25,Bonanza,1959,7.3,6677
26,Carol Burnett,1967,8.8,3927
27,Cheers,1982,7.8,40925
28,Las chicas de oro,1985,7.9,26466
29,Se ha escrito un crimen,1984,6.9,15218
