,id,name
0,9,General Knowledge
1,10,Entertainment: Books
2,11,Entertainment: Film
3,12,Entertainment: Music
4,13,Entertainment: Musicals & Theatres
5,14,Entertainment: Television
6,15,Entertainment: Video Games
7,16,Entertainment: Board Games
8,17,Science & Nature
9,18,Science: Computers
10,19,Science: Mathematics
11,20,Mythology
12,21,Sports
13,22,Geography
14,23,History
15,24,Politics
16,25,Art
17,26,Celebrities
18,27,Animals
19,28,Vehicles
20,29,Entertainment: Comics
21,30,Science: Gadgets
22,31,Entertainment: Japanese Anime & Manga
23,32,Entertainment: Cartoon & Animations
