Characters,Appereances,Appereances (%)
Rick Sanchez,2,100.0
Beth Smith,2,100.0
Jerry Smith,2,100.0
Summer Smith,2,100.0
Morty Smith,2,100.0
Evil Jerry Clone,1,50.0
Tiny-persons advocacy group lawyer,1,50.0
Tammy Guetermann,1,50.0
Stair Goblin,1,50.0
Slippery Stair,1,50.0
Samantha,1,50.0
Principal Vagina,1,50.0
Mr. Meeseeks,1,50.0
Mr. Booby Buyer,1,50.0
King Jellybean,1,50.0
Evil Summer Clone,1,50.0
Dale,1,50.0
Evil Beth Clone,1,50.0
Big Boobed Waitress,1,50.0
Stu,1,50.0
Prince Nebulon,1,50.0
Mr. Marklovitz,1,50.0
Mr. Goldenfold,1,50.0
Kevin,1,50.0
Jessica's Friend,1,50.0
Jessica,1,50.0
Cynthia,1,50.0
Giant Judge,1,50.0
