location.coordinates,name,number_of_employees,long,lat,Near_Emp
"[-73.723999, 41.109534]",IBM,388000,-73.723999,41.109534,388000
"[-121.927696, 37.294465]",PayPal,300000,-121.927696,37.294465,300000
"[-95.712891, 37.09024]",Shopatron,166,-95.712891,37.09024,190054
"[-95.712891, 37.09024]",Wazzala,1,-95.712891,37.09024,190054
"[-95.712891, 37.09024]",SplashCast,8,-95.712891,37.09024,190054
"[-95.712891, 37.09024]",Uversity,30,-95.712891,37.09024,190054
"[-95.712891, 37.09024]",23andMe,80,-95.712891,37.09024,190054
"[-95.712891, 37.09024]",SpiralFrog,15,-95.712891,37.09024,190054
"[-95.712891, 37.09024]",Sportsline,264,-95.712891,37.09024,190054
"[-95.712891, 37.09024]",Espotting,250,-95.712891,37.09024,190054
