location.coordinates,name,number_of_employees,long,lat,Near_Emp
"[-73.723999, 41.109534]",IBM,388000,-73.723999,41.109534,388000
"[-121.934573, 37.293687]",Telera,100,-121.934573,37.293687,315570
"[-121.935688, 37.288974]",Hightail,200,-121.935688,37.288974,315520
"[-121.933651, 37.291228]",Asyncast Corporation,20,-121.933651,37.291228,315490
"[-121.93418, 37.291065]",tempCFO Solutions,22,-121.93418,37.291065,315490
"[-121.927696, 37.294465]",PayPal,300000,-121.927696,37.294465,315470
"[-121.9317853, 37.2906027]",clipsync,28,-121.9317853,37.2906027,315470
"[-121.930035, 37.295005]",eBay,15000,-121.930035,37.295005,315470
"[-121.9303616, 37.3015115]",Naseeb Networks,100,-121.9303616,37.3015115,315200
"[-95.712891, 37.09024]",CollegeWikis,7,-95.712891,37.09024,190054
