Genre,Global_Sales,NA_Sales,EU_Sales,JP_Sales
Action,1745.2699999999693,879.0099999999902,519.1299999999861,161.44000000000082
Adventure,237.69000000000122,105.26000000000005,63.54000000000006,52.300000000000296
Fighting,447.47999999999917,223.3600000000002,100.33000000000018,87.48000000000016
Misc,803.1799999999942,407.26999999999913,212.74000000000055,108.10999999999994
Platform,828.0799999999966,445.4999999999992,200.3500000000003,130.83000000000013
Puzzle,243.02000000000064,122.87000000000012,50.00999999999996,57.30999999999997
Racing,728.8999999999947,359.3499999999975,236.5100000000004,56.710000000000015
Role-Playing,934.3999999999937,330.80999999999904,188.71000000000035,355.4599999999977
Shooter,1052.9399999999764,592.239999999995,317.3399999999964,38.76000000000007
Simulation,390.4199999999976,182.1900000000006,113.52000000000021,63.800000000000075
Sports,1331.9999999999861,684.4299999999976,376.7899999999946,135.54000000000042
Strategy,174.50000000000057,68.55000000000013,45.17000000000007,49.660000000000046
